RA,Dec,z_cl,N_mem,logMs,z_bcg,ID,
1.028991,1.606852,0.4252,14.921,12.169,-1.0,C19a1sW00110,
1.046943,0.752259,0.3259,18.851,12.348,0.32957,C19a1sW00111,
1.048548,1.420464,0.978,14.427,12.063,-1.0,C19a1sW00112,
1.054299,0.567762,0.9899,11.987,12.259,-1.0,C19a1sW00113,
1.056643,1.227732,0.734,11.597,12.29,0.7326,C19a1sW00114,
1.067451,0.183053,0.654,19.415,12.514,0.63325,C19a1sW00115,
1.090276,-0.660816,1.0265,23.2,12.441,-1.0,C19a1sW00116,
1.092147,0.832451,0.9228,31.369,12.596,-1.0,C19a1sW00117,
1.093535,1.071927,0.5274,15.726,12.444,0.52536,C19a1sW00118,
1.096349,1.553315,1.1739,13.953,12.443,-1.0,C19a1sW00119,
1.108164,1.252106,0.9339,29.008,12.575,-1.0,C19a1sW00120,
1.115693,1.391941,0.93,22.117,12.592,-1.0,C19a1sW00121,
1.123302,2.416375,1.1437,12.645,12.229,-1.0,C19a1sW00122,
1.127323,1.893344,0.9221,10.359,12.141,-1.0,C19a1sW00123,
1.137571,1.384102,0.7419,12.121,12.373,0.72173,C19a1sW00124,
1.1543,1.837384,0.4235,13.194,12.314,0.42511,C19a1sW00125,
1.156452,1.921629,1.196,10.135,12.174,-1.0,C19a1sW00126,
1.162154,1.000236,0.518,11.276,11.889,-1.0,C19a1sW00127,
1.16455,2.156101,0.76,20.232,12.395,0.74595,C19a1sW00128,
1.187805,1.174731,1.25,11.082,12.191,-1.0,C19a1sW00129,
1.194261,-0.038833,0.302,11.249,12.154,0.29763,C19a1sW00130,
1.195603,-0.842911,0.3256,12.822,11.847,-1.0,C19a1sW00131,
1.204931,0.376323,0.6468,23.052,12.526,-1.0,C19a1sW00132,
1.207757,1.746592,0.24,10.375,12.249,0.23759,C19a1sW00133,
1.217509,1.150217,0.8666,11.424,12.213,-1.0,C19a1sW00134,
1.223536,1.12153,0.54,10.159,11.977,0.54838,C19a1sW00135,
1.233564,0.157303,0.6651,19.521,12.575,0.66512,C19a1sW00136,
1.23767,-0.289909,0.7041,10.001,12.206,-1.0,C19a1sW00137,
1.24415,0.962098,0.1135,26.587,12.347,0.09531,C19a1sW00138,
1.244712,0.090561,0.5167,10.106,12.074,0.51698,C19a1sW00139,
1.249243,2.195339,0.827,25.975,12.547,-1.0,C19a1sW00140,
1.268578,0.57111,0.322,19.355,12.369,0.31955,C19a1sW00141,
1.274377,1.168343,1.1547,24.946,12.492,-1.0,C19a1sW00142,
1.300291,2.108042,1.042,13.673,12.243,-1.0,C19a1sW00143,
1.30557,1.285698,1.0,10.316,12.26,-1.0,C19a1sW00144,
1.306212,0.18395,0.74,17.308,12.378,-1.0,C19a1sW00145,
1.311314,2.298769,0.7432,16.027,12.345,-1.0,C19a1sW00146,
1.342183,0.516897,0.5581,37.849,12.505,-1.0,C19a1sW00147,
1.346965,1.39769,0.6541,17.57,12.485,-1.0,C19a1sW00148,
1.356463,1.476998,0.849,19.582,12.328,-1.0,C19a1sW00149,
1.357004,1.073157,0.8764,27.299,12.43,-1.0,C19a1sW00150,
1.363785,0.401948,1.052,15.211,12.121,-1.0,C19a1sW00151,
1.368834,1.047164,0.78,27.521,12.472,-1.0,C19a1sW00152,
1.369262,-0.208321,0.694,14.751,12.359,0.6667,C19a1sW00153,
1.382074,1.204347,1.172,12.458,12.228,-1.0,C19a1sW00154,
1.394998,-0.08837,0.63,20.921,12.548,0.61686,C19a1sW00155,
1.396364,1.857856,0.41,10.166,12.213,0.41749,C19a1sW00156,
1.39858,-0.301806,1.016,10.569,12.009,-1.0,C19a1sW00157,
1.401981,2.161594,0.9519,10.853,12.012,-1.0,C19a1sW00158,
1.408429,1.794713,0.336,19.39,12.277,-1.0,C19a1sW00159,
1.410604,0.489759,1.162,11.233,12.28,-1.0,C19a1sW00160,
1.422085,0.633771,0.6432,13.608,12.298,-1.0,C19a1sW00161,
1.422904,1.316587,0.3714,18.331,12.472,0.39487,C19a1sW00162,
1.433776,0.218435,0.32,15.987,12.22,0.31965,C19a1sW00163,
1.437262,-0.795775,1.2471,11.35,12.102,-1.0,C19a1sW00164,
