#   RA         Dec     z_cl    N_mem logMs  z_bcg    ID
  1.437262  -0.795775 1.2472  11.256 12.102 -1.0    C19a1nW00170
  1.439583  -0.478211 0.6740  18.095 12.373 -1.0    C19a1nW00171
  1.444590   2.382173 0.8126  23.188 12.501 0.83971 C19a1nW00172
  1.455864   2.225168 0.2958  14.385 12.097 -1.0    C19a1nW00173
  1.456251   1.923637 0.4406  10.229 12.253 -1.0    C19a1nW00174
  1.458603  -0.614708 0.4553  10.899 12.237 0.42319 C19a1nW00175
  1.459190   1.111075 0.6345  10.482 12.170 -1.0    C19a1nW00176
  1.461697   0.812117 0.1879  11.766 12.123 0.18787 C19a1nW00177
  1.466266   2.131785 1.1899  17.137 12.643 -1.0    C19a1nW00178
  1.475325   1.925407 0.8147  16.177 12.445 -1.0    C19a1nW00179
  1.487268   0.539418 0.7996  20.566 12.598 0.79218 C19a1nW00180
  1.488383   1.323165 1.0055  12.955 12.295 -1.0    C19a1nW00181
  1.496464   0.308129 1.1936  15.637 12.296 -1.0    C19a1nW00182
  1.500822   1.691275 0.8021  11.677 12.068 -1.0    C19a1nW00183
  1.506005   1.697089 0.4123  11.007 12.174 0.42601 C19a1nW00184
  1.528430  -0.105915 0.3366  10.350 12.109 0.34827 C19a1nW00185
  1.529103   0.912270 1.1841  11.484 12.269 -1.0    C19a1nW00186
  1.534034   1.396174 0.5024  10.258 12.066 0.50231 C19a1nW00187
  1.534476   1.832136 0.4320  16.023 12.475 0.42572 C19a1nW00188
  1.551123   1.182807 0.2887  10.083 12.013 -1.0    C19a1nW00189
  1.554433  -0.614595 1.1871  10.415 12.297 -1.0    C19a1nW00190
  1.562287   1.137349 0.5422  13.541 12.248 0.53435 C19a1nW00191
  1.583214   1.810795 0.8224  13.495 12.177 -1.0    C19a1nW00192
  1.587603   2.048908 1.0381  10.739 12.125 -1.0    C19a1nW00193
  1.600692  -0.048524 1.0400  17.941 12.280 -1.0    C19a1nW00194
  1.602048   0.382695 0.2967  10.366 12.028 -1.0    C19a1nW00195
  1.611484   1.576241 0.9880  12.634 12.344 -1.0    C19a1nW00196
  1.625573   0.490357 0.6060  11.461 12.310 0.61742 C19a1nW00197
  1.647916   1.705211 0.7731  17.673 12.329 -1.0    C19a1nW00198
  1.648264   0.285458 0.6980  32.473 12.612 0.68139 C19a1nW00199
  1.652128  -0.317572 0.3461  10.930 12.069 -1.0    C19a1nW00200
  1.660913   0.014336 0.8260  10.328 12.259 -1.0    C19a1nW00201
